JobIDRaw|Start|Elapsed|AllocTRES|State
3657502.batch|2025-02-23T04:52:45|08:00:11|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED
3657502.extern|2025-02-23T04:52:45|08:00:10|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657503|2025-02-23T04:52:51|08:00:04|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|TIMEOUT
3657503.batch|2025-02-23T04:52:51|08:00:05|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED
3657503.extern|2025-02-23T04:52:51|08:00:04|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657504|2025-02-23T04:52:54|08:00:01|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|TIMEOUT
3657504.batch|2025-02-23T04:52:54|08:00:02|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED
3657504.extern|2025-02-23T04:52:54|08:00:01|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657505|2025-02-23T04:52:57|08:00:28|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|TIMEOUT
3657505.batch|2025-02-23T04:52:57|08:00:29|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED
3657505.extern|2025-02-23T04:52:57|08:00:28|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657506|2025-02-23T04:52:57|08:00:28|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|TIMEOUT
3657506.batch|2025-02-23T04:52:57|08:00:29|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED
3657506.extern|2025-02-23T04:52:57|08:00:28|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657507|2025-02-23T04:52:59|08:00:26|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|TIMEOUT
3657507.batch|2025-02-23T04:52:59|08:00:27|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED
3657507.extern|2025-02-23T04:52:59|08:00:26|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657508|2025-02-23T04:53:03|08:00:22|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|TIMEOUT
3657508.batch|2025-02-23T04:53:03|08:00:23|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED
3657508.extern|2025-02-23T04:53:03|08:00:22|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657509|2025-02-23T04:53:03|08:00:22|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|TIMEOUT
3657509.batch|2025-02-23T04:53:03|08:00:23|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED
3657509.extern|2025-02-23T04:53:03|08:00:22|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657514|2025-02-23T05:07:18|08:01:04|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED by 364274
3657514.batch|2025-02-23T05:07:18|08:01:05|cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED
3657514.extern|2025-02-23T05:07:18|08:01:04|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|COMPLETED
3657515|2025-02-23T05:07:21|08:01:01|billing=184,cpu=16,gres/gpu:a100=1,gres/gpu=1,mem=62.50G,node=1|CANCELLED by 364274
